id,created_at,text,hashtag
450132019205242880,2014-03-30 04:46:51,"Trailer for Into the Storm, a new tornado disaster movie coming to theaters in August http://t.co/HwitXCHMaQ",
440057028887588865,2014-03-02 09:32:26,Widepread winter weather advisories and warnings from Texas through the Midwest and to the east coast http://t.co/AWtLvJzZRD,
439947330578419712,2014-03-02 02:16:32,"Weather Channel says ice storm likely in parts of Arkansas, Mississippi, Tennessee, Kentucky and West Virginia http://t.co/LZ3I3RKeEl",
439520134332289024,2014-02-28 21:59:00,Great Lakes still over 80% ice covered http://t.co/5WQqQ62cbA,
439236912310542336,2014-02-28 03:13:35,Subzero temperature days reaching near-record levels in Midwest http://t.co/vL4GrJxIXW,
438940197892288512,2014-02-27 07:34:32,Ice jams threatening homes and bridges in Midwest http://t.co/mjeNkHYkxa,
436524624176619522,2014-02-20 15:35:55,"Storm Prediction Center forecasts moderate severe weather outbreak - includes parts of TN, KY, MS, AL, IN http://t.co/kNrlOd1PqK",
436265101734068224,2014-02-19 22:24:40,Blizzard to blast Minneapolis and the upper Midwest on Thursday http://t.co/Dp0Ook72aA,
433801337021542400,2014-02-13 03:14:33,NYC expected to get 8 to 12 inches of snow which will begin late tonight http://t.co/OeEmHmURU2,
432802726318067712,2014-02-10 09:06:25,"Japan snowstorm kills 11 and injures 1,200 http://t.co/AgA4luYsb1",
431342535454105600,2014-02-06 08:24:09,"Ice storm leaves over 600,000 customers without power in Philadelphia region http://t.co/nKJX6MGoNZ",
430024310414012416,2014-02-02 17:05:59,Punxsutawney Phil predicts six more weeks of Winter http://t.co/OyM4VDZX5s,
429792339985711106,2014-02-02 01:44:13,ESO's Very Large Telescope used to create weather map of nearest brown dwarf http://t.co/SD7rlQ8PO7 (via @space),
428666810695557120,2014-01-29 23:11:46,Freak Southern storm blamed for at least 13 deaths http://t.co/L6QCpKRFaf,
428319956518711296,2014-01-29 00:13:30,"Snow, ice bring traffic to a standstill in parts of Alabama http://t.co/HBkWrgBZgU",
425544692566994945,2014-01-21 08:25:35,NASA's Earth Observatory shares image of nearly frozen over Lake Erie http://t.co/2ndOH7RKLP,
425210869320908800,2014-01-20 10:19:05,DirecTV drops The Weather Channel.  Jim Cantore argues the channel helps save lives in CNN interview http://t.co/ctxnttCZEQ,
421038867077021697,2014-01-08 22:01:03,NASA satellite captures Midwest White Out http://t.co/bflNV2ioSE,
420040036986269697,2014-01-06 03:52:03,"Indianapolis upgrades travel emergency level to red, driving is prohibited http://t.co/JdbBLy6qeA",
419671034812325888,2014-01-05 03:25:46,Chicago has a forecast high of -10 for Monday with windchills of 40 to 50 below zero http://t.co/qXgyhtz9Ai,
419286865460490240,2014-01-04 01:59:13,Coldest Arctic Outbreak in Midwest since the 1990s http://t.co/byKRrfqf2e,
